sample_number,tail_length,monkey_pop,ear
1,58.916989918959295,a,4.6485999802638585
2,59.81034374212055,a,3.971456883660531
3,59.661529116199766,a,4.640300162594678
4,58.76078436551266,a,4.436018177256288
5,57.61580872833443,a,4.256324028185947
6,57.50897124218679,a,4.377241933225412
7,57.66691150200097,a,4.237978113473581
8,57.577944835694474,a,4.356551015399855
9,58.166652396597634,a,4.130340394490321
10,57.327796241876854,a,4.193407996594427
11,56.453568539827664,a,4.93597917175793
12,54.38518042651339,a,4.337237554773038
13,59.14283150711003,a,4.565638188489314
14,56.15611853914514,a,4.530929206552976
15,57.266582954216254,a,4.757957927140828
16,57.24232378159498,a,4.375644164297622
17,59.00344360030558,a,4.67413581750787
18,56.56335779389736,a,4.632321571165159
19,56.22439557639176,a,4.176712436735529
20,57.59977585452647,a,4.639787243230106
21,60.87154851332008,a,4.038804936249669
22,58.39695832220161,a,4.093621039127674
23,57.47129248779839,a,4.345211384137291
24,53.39393663627185,a,4.271968193358157
25,55.150720918880914,a,4.270907212991813
26,58.201774967834666,a,4.598188821545553
27,56.225002939268435,a,4.410709816586606
28,60.22248059492749,a,4.37162533559327
29,54.83783897114555,a,4.39399987806823
30,56.39330642261928,a,4.746108251468377
31,54.741965160078344,a,4.490070693207504
32,56.1545756288472,a,4.556606861519598
33,58.33783154570384,a,4.678177133979246
34,56.40589531429683,a,4.767848798248665
35,58.62505846494235,a,4.6047893876078625
36,56.62416286098752,a,4.3699103782996875
37,57.020713366868634,a,4.784609949556036
38,58.142203941529324,a,4.280819920765273
39,58.68770431818473,a,4.085686619776515
40,54.845629064649636,a,4.262985387789028
41,55.96460981058039,a,4.12624999494374
42,56.70357737618198,a,4.402389598944757
43,58.64631433994489,a,4.219600451496185
44,56.305709025087076,a,4.238073543233566
45,54.22064458114221,a,4.076604434366669
46,57.32488767474484,a,4.560372421393721
47,57.25173536647608,a,4.255330274179496
48,57.514248487521826,a,4.2939936980312146
49,56.40942509851825,a,4.717588873496542
50,61.511498439813565,a,4.276600206014156
51,56.56003471690462,a,4.002212422013299
52,55.40458624367365,a,4.177032654919082
53,55.63676389319147,a,4.0885943505998945
54,53.76495382874837,a,3.7479545019048404
55,57.75389578590206,a,4.441881815639895
56,56.46771413094785,a,4.501863154576027
57,57.307704417192156,a,4.128627452513622
58,59.51757659689731,a,4.347632434658126
59,57.04276222584378,a,4.340730091936022
60,58.433037661918476,a,4.169622452300497
61,52.69044412206309,a,4.059397662163355
62,59.53322207376773,a,4.299956122156494
63,58.27641180803315,a,4.540377429093174
64,57.036403425217635,a,4.087940905197467
65,57.938462787282816,a,4.494219819903959
66,59.02237996050889,a,4.370756646843732
67,61.93354552560028,a,4.24325507126185
68,58.126188905257195,a,4.651175725345095
69,59.000330693578704,a,3.984549763748415
70,58.70364413861046,a,4.407650179614742
71,59.03324850679617,a,4.706151196041817
72,57.915433260014105,a,4.26931287037998
73,54.4142228647754,a,4.254552656892838
74,57.336140682360494,a,4.155363021382204
